Quarter,Date,School Name,UNITID,Fossil Fuel Exposure,Divested?,Type of Divestment,"Able to confirm ""rejection""","Type of ""no""",Key NO Text,Reason for rejection,NAS Citation,Relevant links,MY CODES:,Substitute Sustainability,Substitute Sustainability Education,Substitute Impact Investing,Fiduciary,Apolitical,Not Enough Comparable Institutions Divesting,Ineffective,No Consensus on Effectiveness,Unpredictable,Contradictory,No Political Consensus,Insufficient Campus Discourse,Focus on Consumption,Insufficient Moral Case,Shareholder Engagement,Risk Losing Company Donors,Previous Action Enough,Slippery Slope,Fossil Fuels are Necessary,Criticism of Divestment Movement Tactics,Too Complicated,Fossil Fuel Companies = Green Energy Companies,NAS CODES:,Costs,Donor Intent,Fiduciary,Substitute Academic Study of Sustainability,Target Consumption Instead,Shareholder Engagement,Too Political,Anti-Intellectual,Slippery Slope,Ineffective,Fossil Fuels are Necessary,Not Enough Peer Institutions,Does Not Discriminate Better From Worse Fossil Fuel Companies
2013 Q4,1-Oct-13,CUNY New York City College of Technology,190655,,No,NA,Yes,Unconditional,"""Administration officials told students that divestment was out of the question . . . the board has not budged, arguing that divestment could limit investment returns and hurt financial aid scholarships.""",Fiduciary,"__UNY Divest History,_ CUNY Divest, June 22, 2015. http://www.cunydivest.org/history.html.","https://www.psc-cuny.org/clarion/october-2016/divesting-fossil-fuels-cuny, https://www.wsj.com/articles/cuny-is-pressured-to-divest-itself-of-investments-in-fossil-fuel-companies-1416193565", ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,,,,,,,,,
2013 Q4,1-Oct-13,CUNY Queens College,190664,,No,NA,Yes,Unconditional,"""Administration officials told students that divestment was out of the question . . . the board has not budged, arguing that divestment could limit investment returns and hurt financial aid scholarships.""",Fiduciary,"__UNY Divest History,_ CUNY Divest, June 22, 2015. http://www.cunydivest.org/history.html.","https://www.psc-cuny.org/clarion/october-2016/divesting-fossil-fuels-cuny, https://www.wsj.com/articles/cuny-is-pressured-to-divest-itself-of-investments-in-fossil-fuel-companies-1416193565", ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,,,,,,,,,
2013 Q4,1-Oct-13,CUNY Queensborough Community College,190673,,No,NA,Yes,Unconditional,"""Administration officials told students that divestment was out of the question . . . the board has not budged, arguing that divestment could limit investment returns and hurt financial aid scholarships.""",Fiduciary,"__UNY Divest History,_ CUNY Divest, June 22, 2015. http://www.cunydivest.org/history.html.","https://www.psc-cuny.org/clarion/october-2016/divesting-fossil-fuels-cuny, https://www.wsj.com/articles/cuny-is-pressured-to-divest-itself-of-investments-in-fossil-fuel-companies-1416193565", ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,,,,,,,,,
2013 Q4,1-Oct-13,CUNY School of Law,190682,,No,NA,Yes,Unconditional,"""Administration officials told students that divestment was out of the question . . . the board has not budged, arguing that divestment could limit investment returns and hurt financial aid scholarships.""",Fiduciary,"__UNY Divest History,_ CUNY Divest, June 22, 2015. http://www.cunydivest.org/history.html.","https://www.psc-cuny.org/clarion/october-2016/divesting-fossil-fuels-cuny, https://www.wsj.com/articles/cuny-is-pressured-to-divest-itself-of-investments-in-fossil-fuel-companies-1416193565", ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,,,,,,,,,
2013 Q4,1-Oct-13,CUNY York College,190691,,No,NA,Yes,Unconditional,"""Administration officials told students that divestment was out of the question . . . the board has not budged, arguing that divestment could limit investment returns and hurt financial aid scholarships.""",Fiduciary,"__UNY Divest History,_ CUNY Divest, June 22, 2015. http://www.cunydivest.org/history.html.","https://www.psc-cuny.org/clarion/october-2016/divesting-fossil-fuels-cuny, https://www.wsj.com/articles/cuny-is-pressured-to-divest-itself-of-investments-in-fossil-fuel-companies-1416193565", ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,,,,,,,,,
2015 Q2,15-May,Colorado College,126678,,No,NA,Yes,Informal,"Interview with student divestment activist in The Gazette -- describes college agreeing to form responsible Investing committee, where in the past it had been a ""flat 'no'"" on divestment (student optimistic that the no is ""at this time"" but unclear how true that is)",Fiduciary,"Mark Ferguson, et. al., __ustainability Knowledge Team Report,_ Colorado College, 2013. https://www.coloradocollege.edu/
dotAsset/c015488a-cae8-4a62-bc02-cfd240479df3.pdf.",https://www.coloradocollege.edu/dotAsset/b6642cc0-d716-420f-a3d5-b45d960907df.pdf https://gazette.com/news/colorado-college-students-say-school-s-investment-principles-don-t/article_6750035a-5d26-5f33-807c-2087e460d36c.html https://www.coloradocollege.edu/basics/welcome/leadership/trustees/updates.html#may12 http://catalystnewspaper.com/lifestyle/why-isnt-colorado-college-divesting-a-look-into-ccs-inaction/, ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, ,,,,,,,,,,,,
2013 Q2,18-Apr-13,Cornell University,190415,,No,NA,Yes,Unconditional,"Given the delicate status of our university__ budget, which is balanced, but by a very fine margin, I am unwilling to recommend divestment from fossil fuel companies to our chief investment officer or to the Investment Committee of the Board of Trustees.",Fiduciary; Substitute Sustainability; Substitute Sustainability Education; Unpredictable; Substitute Impact Investing; Apolitical,"David J. Skorton, __ivestment: A Complicated Issue for Universities,_ Cornell Daily Sun, April 15, 2013, reprinted in
Sustainable Campus Cornell University, April 18, 2013. http://www.sustainablecampus.cornell.edu/blogs/news/posts/op-edfrom-
president-skorton-divestment-a-complicated-issue-for-universities. David Skorton, __korton Responds to Faculty Senate Call for Divestment,_ Cornell Chronicle, February 26, 2014. http://
www.news.cornell.edu/stories/2014/02/skorton-responds-faculty-senate-call-divestment.", , ,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,1,,,1,,,1,,,
2014 Q1,14-Mar,Davidson College,198385,,No,NA,Yes,Informal,"""Davidson College trustees have rejected students_ pleas to divest from the fossil fuel industry, saying the move would have no Impact on the industry.""",Ineffective; Fiduciary; Substitute Sustainability; Substitute Sustainability Education,"Carol E. Quillen, __GA Referendum on Divestment_ Email February 12, 2014, quoted in Lincoln Davidson, __rustees Reject Students_ Call to Divest From Fossil Fuels,_ Davidson News Net, March 1, 2014.","Original article archived (blurb visible, must purchase to see full text): http://nl.newsbank.com/nl-search/we/Archives?p_product=DNC7&p_theme=dnc7&p_action=search&p_maxdocs=200&s_dispstring=date(3/1/2014%20to%203/1/2014)&p_field_date-0=YMD_date&p_params_date-0=date:B,E&p_text_date-0=3/1/2014%20to%203/1/2014)&xcal_numdocs=30&p_perpage=15&p_sort=_rank_:D&xcal_ranksort=4&xcal_useweights=yes. Beyond Fossil Fuel Divestment thesis: http://davidsonnews.net/blog/2014/03/01/college-trustees-reject-divestmentreferendum/ Huffington Post article summarizes letter: https://www.huffingtonpost.com/edith-ismene-nicolaougriffin/why-size-doesnt-matter-di_b_6551302.html. Letter from divest campaign members to board and president, mentions letter from board: https://www.hercampus.com/school/davidson/open-letter-davidson-college-president-and-board-fossil-fuel-divestment-campaigners. ", ,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,1,,,,,,1,,,
2014 Q4,24-Nov-14,Duke University,198419,,No,NA,Yes,At this time,"In light of the overall weight of-the above-listed findings, we do not, under the present circumstances, recommend divestment.","Ineffective; Substitute Sustainability; Insufficient Campus Discourse; Substitute Impact Investing, Shareholder Engagement","__CIR Report and Recommendations on Fossil Fuels,_ Letter to President Richard Brodhead from Advisory Committee on
Investment Responsibility, Duke University, November 24, 2014. https://today.duke.edu/showcase/reports/2014-11-24_ACIR_
Report.pdf.", ,,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,,,,,,1,,1,,1,1,,
2014 Q2,30-Apr-14,Fort Lewis College,127185,,No,NA,Yes,Unconditional,The Fort Lewis College Foundation Board has voted to not divest its endowment portfolio of fossil fuel investments,Previous Action Enough; Fiduciary; Apolitical; Risk Losing Company Donors,"Gene Bradley, Letter, Fort Lewis College Foundation Board of Directors, April 30, 2014. https://www.fortlewis.edu/
foundation/FoundationNews/DivestmentNotice/mid/21109/dnnprintmode/true.aspx?SkinSrc=%5BG%5DSkins/_default/
No%20Skin&ContainerSrc=%5BG%5DContainers/_default/No%20Container.",https://www.fortlewis.edu/foundation/AbouttheFoundation/DivestmentNotice.aspx , ,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,, ,1,1,,,,1,,,,,,
